,id,startpos,endpos,text
17,1568,5142,5170,Schloßvogt und Verwalter und
18,1904,5546,5581,"die Ritter, die sie reiten sollten;"
19,1728,5707,5832,"Verwalter lag ihm an, ein Paar Rappen zu kaufen, die er, wegen Pferdemangels, in der Wirtschaft gebrauchen zu können glaubte;"
20,2153,5910,6037,"der Junker sagte, daß er nach der Tafelrunde reiten und sich den König Arthur aufsuchen müsse, wenn er die Pferde so anschlage."
21,572,6052,6084,den Schloßvogt und den Verwalter
22,1730,6202,6237,"an nichts fehlen, die Pferde an sie"
23,2155,6497,6595,"der Junker meinte, daß er für den Schweißfuchs wohl, aber nicht eben für die Rappen, Geld ausgeben"
24,355,6980,7278,"Kohlhaas wandte sich und fragte den Junker, ob es denn mit diesem Umstand, der sein ganzes Gewerbe zerstöre, in der Tat seine Richtigkeit habe? Der Junker antwortete, mit einem verlegnen Gesicht, indem er abging: ja, Kohlhaas, den Paß mußt du lösen. Sprich mit dem Schloßvogt, und zieh deiner Wege."
25,2054,7305,7399,"daß es gar nicht seine Absicht sei, die Verordnungen, die wegen Ausführung der Pferde bestehen"
26,655,7421,8012,"versprach, bei seinem Durchzug durch Dresden, den Paß in der Geheimschreiberei zu lösen, und bat, ihn nur diesmal, da er von dieser Forderung durchaus nichts gewußt, ziehen zu lassen. Nun! sprach der Junker, da eben das Wetter wieder zu stürmen anfing, und seine dürren Glieder durchsauste: laßt den Schlucker laufen. Kommt! sagte er zu den Rittern, kehrte sich um, und wollte nach dem Schlosse gehen. Der Schloßvogt sagte, zum Junker gewandt, daß er wenigstens ein Pfand, zur Sicherheit, daß er den Schein lösen würde, zurücklassen müsse. Der Junker blieb wieder unter dem Schloßtor stehen."
27,1412,8126,8213,"Der Verwalter meinte, in den Bart murmelnd, er könne ja die Rappen selbst zurücklassen."
28,860,8340,8755,"Kohlhaas, über eine so unverschämte Forderung betreten, sagte dem Junker, der sich die Wamsschöße frierend vor den Leib hielt, daß er die Rappen ja verkaufen wolle; doch dieser, da in demselben Augenblick ein Windstoß eine ganze Last von Regen und Hagel durchs Tor jagte, rief, um der Sache ein Ende zu machen: wenn er die Pferde nicht loslassen will, so schmeißt ihn wieder über den Schlagbaum zurück; und ging ab."
29,862,8769,8828,"der wohl sah, daß er hier der Gewalttätigkeit weichen mußte"
30,864,8861,8895,weil doch nichts anders übrigblieb
31,441,9144,9362,"seine Reise, mit dem Rest der Koppel, halb und halb ungewiß, ob nicht doch wohl, wegen aufkeimender Pferdezucht, ein solches Gebot, im Sächsischen, erschienen sein könne, nach Leipzig, wo er auf die Messe wollte, fort."
32,359,9378,9545,"er, in einer der Vorstädte der Stadt, ein Haus mit einigen Ställen besaß, weil er von hier aus seinen Handel auf den kleineren Märkten des Landes zu bestreiten pflegte"
33,6,9670,9781,"was ihm allerdings sein erster Glaube schon gesagt hatte, daß die Geschichte von dem Paßschein ein Märchen sei."
34,8,9839,9892,einen schriftlichen Schein über den Ungrund derselben
35,606,9900,10001,"lächelte über den Witz des dürren Junkers, obschon er noch nicht recht einsah, was er damit bezwecken"
36,740,10010,10116,"und die Koppel der Pferde, die er bei sich führte, einige Wochen darauf, zu seiner Zufriedenheit, verkauft"
37,742,10118,10230,"kehrte er, ohne irgend weiter ein bitteres Gefühl, als das der allgemeinen Not der Welt, zur Tronkenburg zurück."
38,744,10591,10673,"wenige Tage nach dessen Zurücklassung in der Tronkenburg, zerprügelt und weggejagt"
39,1628,10870,10922,"dem Roßkamm, dem das Herz schon von Ahnungen schwoll"
40,363,10986,11272,"sein Erstaunen, als er, statt seiner zwei glatten und wohlgenährten Rappen, ein Paar dürre, abgehärmte Mähren erblickte; Knochen, denen man, wie Riegeln, hätte Sachen aufhängen können; Mähnen und Haare, ohne Wartung und Pflege, zusammengeknetet: das wahre Bild des Elends im Tierreiche!"
41,867,11680,12022,"Kohlhaas fluchte über diese schändliche und abgekartete Gewalttätigkeit, verbiß jedoch, im Gefühl seiner Ohnmacht, seinen Ingrimm, und machte schon, da doch nichts anders übrigblieb, Anstalten, das Raubnest mit den Pferden nur wieder zu verlassen, als der Schloßvogt, von dem Wortwechsel herbeigerufen, erschien, und fragte, was es hier gäbe?"
42,1294,12061,12097,hat dem Junker von Tronka und dessen
43,1906,12200,12360,"Er setzte hinzu, ob das wohl menschlich wäre? versuchte, die erschöpften Gaule durch einen Gertenstreich zu erregen, und zeigte ihm, daß sie sich nicht rührten."
44,1133,12738,12868,"daß er hier keine Flausen machen möchte, oder daß er die Hunde rufen, und sich durch sie Ruhe im Hofe zu verschaffen wissen würde."
45,746,12871,13199,"Dem Roßhändler schlug das Herz gegen den Wams. Es drängte ihn, den nichtswürdigen Dickwanst in den Kot zu werfen, und den Fuß auf sein kupfernes Antlitz zu setzen. Doch sein Rechtgefühl, das einer Goldwaage glich, wankte noch; er war, vor der Schranke seiner eigenen Brust, noch nicht gewiß, ob eine Schuld seinen Gegner drücke;"
46,876,13200,13451,"und während er, die Schimpfreden niederschluckend, zu den Pferden trat, und ihnen, in stiller Erwägung der Umstände, die Mähnen zurechtlegte, fragte er mit gesenkter Stimme: um welchen Versehens halber der Knecht denn aus der Burg entfernt worden sei?"
47,1073,13535,13563,sich gegen einen notwendigen
48,943,13741,13789,Kohlhaas hätte den Wert der Pferde darum gegeben
49,878,13984,14013,was in seiner Lage zu tun sei
50,221,14053,14165,"und der Junker Wenzel von Tronka, mit einem Schwarm von Rittern, Knechten und Hunden, von der Hasenhetze kommend"
51,325,14276,14377,"während die Hunde, beim Anblick des Fremden, von der einen Seite, ein Mordgeheul gegen ihn anstimmten"
52,945,14504,14882,"was dieser Roßkamm, weil seine Rappen ein wenig gebraucht worden wären, für eine Rebellion verführe. Er sagte, mit Hohngelächter, daß er sich weigere, die Pferde als die seinigen anzuerkennen. Kohlhaas rief: »das sind nicht meine Pferde, gestrenger Herr! Das sind die Pferde nicht, die dreißig Goldgülden wert waren! Ich will meine wohlgenährten und gesunden Pferde wiederhaben!"
53,880,14886,15097,"Der Junker, indem ihm eine flüchtige Blässe ins Gesicht trat, stieg vom Pferde, und sagte: wenn der H... A... die Pferde nicht wiedernehmen will, so mag er es bleibenlassen. Komm, Günther! rief er – Hans! Kommt!"
54,882,15107,15167,sich den Staub mit der Hand von den Beinkleidern schüttelte;
55,1142,15261,15437,"Kohlhaas sagte, daß er eher den Abdecker rufen, und die Pferde auf den Schindanger schmeißen lassen, als sie so, wie sie wären, in seinen Stall zu Kohlhaasenbrück führen wolle."
56,749,15446,15508,"die Gaule, ohne sich um sie zu bekümmern, auf dem Platz stehen"
57,751,15524,15591,"indem er versicherte, daß er sich Recht zu verschaffen wissen würde"
58,2057,15643,15668,auf dem Wege nach Dresden
59,147,15884,15922,zur vorgängigen Vernehmung des Knechts
60,149,15989,16821,"Denn ein richtiges, mit der gebrechlichen Einrichtung der Welt schon bekanntes Gefühl machte ihn, trotz der erlittenen Beleidigungen, geneigt, falls nur wirklich dem Knecht, wie der Schloßvogt behauptete, eine Art von Schuld beizumessen sei, den Verlust der Pferde, als eine gerechte Folge davon, zu verschmerzen. Dagegen sagte ihm ein ebenso vortreffliches Gefühl, und dies Gefühl faßte tiefere und tiefere Wurzeln, in dem Maße, als er weiterritt, und überall, wo er einkehrte, von den Ungerechtigkeiten hörte, die täglich auf der Tronkenburg gegen die Reisenden verübt wurden: daß wenn der ganze Vorfall, wie es allen Anschein habe, bloß abgekartet sein sollte, er mit seinen Kräften der Welt in der Pflicht verfallen sei, sich Genugtuung für die erlittene Kränkung, und Sicherheit für zukünftige seinen Mitbürgern zu verschaffen."
61,1637,17104,17218,"Denke dir, daß dieser unselige Mensch, vor etwa vierzehn Tagen, auf das jämmerlichste zerschlagen, hier eintrifft;"
62,957,18673,18765,"von den Freveln ist, die man sich seit kurzem auf der Tronkenburg gegen die Fremden erlaubt."
63,659,18768,18871,"Das muß ich doch erst untersuchen, erwiderte Kohlhaas. Ruf ihn mir, Lisbeth, wenn er auf ist, doch her!"
64,959,19111,19153,Ich bin nicht eben wohl mit dir zufrieden.
65,796,19271,19576,"da habt Ihr recht, Herr! antwortete er; denn einen Schwefelfaden, den ich durch Gottes Fügung bei mir trug, um das Raubnest, aus dem ich verjagt worden war, in Brand zu stecken, warf ich, als ich ein Kind darin jammern hörte, in das Elbwasser, und dachte: mag es Gottes Blitz einäschern; ich will's nicht!"
66,1747,19784,19801,ist aber nicht zu
67,2060,22101,22157,"die Pferde der Ritter gingen, auf eine gewisse Art, vor."
68,2172,22235,22289,Es hauseten jetzt in allem sieben Ritter auf der Burg.
69,1570,24378,24404,den Vogt und den Verwalter
70,798,26062,26169,"Kohlhaas sagte, bleich im Gesicht, mit erzwungener Schelmerei: hast du auch nicht entweichen wollen, Herse?"
71,574,26793,26898,"Wort für Wort, ich glaub es dir; und das Abendmahl, wenn es zur Sprache kommt, will ich selbst nun darauf"
72,368,27366,27466,"Hierauf erzählte er Lisbeth, seiner Frau, den ganzen Verlauf und inneren Zusammenhang der Geschichte"
73,964,27482,27563,"wie er entschlossen sei, die öffentliche Gerechtigkeit für sich aufzufordern, und"
74,576,27668,27845,"daß noch mancher andre Reisende, vielleicht minder duldsam, als er, über jene Burg ziehen würde; daß es ein Werk Gottes wäre, Unordnungen, gleich diesen, Einhalt zu tun; und daß"
75,193,28128,28166,um seine Klage vor Gericht zu bringen.
76,1770,28185,28237,"mit Hülfe eines Rechtsgelehrten, den er kannte, eine"
77,1077,28330,28351,"Wenzel von Tronka, an"
78,753,28406,28588,"auf gesetzmäßige Bestrafung desselben, Wiederherstellung der Pferde in den vorigen Stand, und auf Ersatz des Schadens antrug, den er sowohl, als sein Knecht, dadurch erlitten hatten."
79,224,28589,28948,"Die Rechtssache war in der Tat klar. Der Umstand, daß die Pferde gesetzwidriger Weise festgehalten worden waren, warf ein entscheidendes Licht auf alles übrige; und selbst wenn man hätte annehmen wollen, daß die Pferde durch einen bloßen Zufall erkrankt wären, so würde die Forderung des Roßkamms, sie ihm gesund wieder zuzustellen, noch gerecht gewesen sein."
80,374,29090,29294,"der ausgebreitete Handel, den er mit Pferden trieb, hatte ihm die Bekanntschaft, und die Redlichkeit, mit welcher er dabei zu Werke ging, ihm das Wohlwollen der bedeutendsten Männer des Landes verschafft."
81,376,29512,29633,"völlig von demselben über den Ausgang seiner Rechtssache beruhigt, zu Lisbeth, seinem Weibe, nach Kohlhaasenbrück zurück."
82,1079,29634,30157,"Gleichwohl vergingen Monate, und das Jahr war daran, abzuschließen, bevor er, von Sachsen aus, auch nur eine Erklärung über die Klage, die er daselbst anhängig gemacht hatte, geschweige denn die Resolution selbst, erhielt. Er fragte, nachdem er mehrere Male von neuem bei dem Tribunal eingekommen war, seinen Rechtsgehülfen, in einem vertrauten Briefe, was eine so übergroße Verzögerung verursache; und erfuhr, daß die Klage, auf eine höhere Insinuation, bei dem Dresdner Gerichtshofe, gänzlich niedergeschlagen worden sei."
83,16,30254,30421,"daß der Junker Wenzel von Tronka mit zwei Jungherren, Hinz und Kunz von Tronka, verwandt sei, deren einer, bei der Person des Herrn, Mundschenk, der andre gar Kämmerer"
84,755,30609,30628,"daß der Junker, der"
85,381,30934,31028,"der Stadthauptmann, Heinrich von Geusau, unter dessen Regierungsbezirk Kohlhaasenbrück gehörte"
86,2288,31052,31178,"aus einem beträchtlichen Fonds, der der Stadt zugefallen war, mehrere wohltätige Anstalten, für Kranke und Arme, einzurichten."
87,1300,31179,31404,"Besonders war er bemüht, einen mineralischen Quell, der auf einem Dorf in der Gegend sprang, und von dessen Heilkräften man sich mehr, als die Zukunft nachher bewährte, versprach, für den Gebrauch der Preßhaften einzurichten;"
88,2084,32005,32054,den niederschlagenden Brief seines Rechtsgehülfen
89,102,32134,32181,"bemerkte, daß Kohlhaas eine Träne auf den Brief"
90,20,32850,32940,"eine Supplik, mit einer kurzen Darstellung des Vorfalls, an den Kurfürsten von Brandenburg"
91,1778,32941,33094,"aufsetzen, den Brief des Advokaten beilegen, und wegen der Gewalttätigkeit, die man sich, auf sächsischem Gebiet, gegen ihn erlaubt, den landesherrlichen"
92,383,33141,33243,"Bittschrift, unter einem anderen Paket, das schon bereit liege, in die Hände des Kurfürsten zu bringen"
93,385,33260,33529,"unfehlbar, wenn es die Verhältnisse zuließen, bei dem Kurfürsten von Sachsen einkommen würde; und mehr als eines solchen Schrittes bedürfe es nicht, um ihm bei dem Tribunal in Dresden, den Künsten des Junkers und seines Anhanges zum Trotz, Gerechtigkeit zu verschaffen."
94,1082,33803,33837,"Schreiberei des Stadtgerichts, die"
95,1084,33838,33876,"Beschwerde, ganz den Forderungen gemäß"
96,387,33938,34021,"beruhigter über den Ausgang seiner Geschichte, als je, nach Kohlhaasenbrück zurück."
97,1302,34159,34254,"erfahren, daß der Kurfürst die Supplik seinem Kanzler, dem Grafen Kallheim, übergeben habe, und"
98,2294,34840,34869,und erst am Schluß der kurzen
99,1086,34889,35003,"Kohlhaas, aus einigen hingeworfenen Worten, daß der Graf Kallheim mit dem Hause derer von Tronka verschwägert sei."
100,970,35020,35117,"keine Freude mehr, weder an seiner Pferdezucht, noch an Haus und Hof, kaum an Weib und Kind hatte"
101,2298,35414,35471,"es tue ihm leid, daß er nichts in seiner Sache tun könne;"
102,1088,35666,36075,"Die Resolution lautete: »er sei, nach dem Bericht des Tribunals in Dresden, ein unnützer Querulant; der Junker, bei dem er die Pferde zurückgelassen, halte ihm dieselben, auf keine Weise, zurück; er möchte nach der Burg schicken, und sie holen, oder dem Junker wenigstens wissen lassen, wohin er sie ihm senden solle; die Staatskanzlei aber, auf jeden Fall, mit solchen Plackereien und Stänkereien verschonen."
103,22,36077,37069,"Kohlhaas, dem es nicht um die Pferde zu tun war – er hätte gleichen Schmerz empfunden, wenn es ein Paar Hunde gegolten hätte – Kohlhaas schäumte vor Wut, als er diesen Brief empfing. Er sah, sooft sich ein Geräusch im Hofe hören ließ, mit der widerwärtigsten Erwartung, die seine Brust jemals bewegt hatte, nach dem Torwege, ob die Leute des Jungherren erscheinen, und ihm, vielleicht gar mit einer Entschuldigung, die Pferde, abgehungert und abgehärmt, wieder zustellen würden; der einzige Fall, in welchem seine von der Welt wohlerzogene Seele, auf nichts das ihrem Gefühl völlig entsprach gefaßt war. Er hörte aber in kurzer Zeit schon, durch einen Bekannten, der die Straße gereiset war, daß die Gaule auf der Tronkenburg, nach wie vor, den übrigen Pferden des Landjunkers gleich, auf dem Felde gebraucht würden; und mitten durch den Schmerz, die Welt in einer so ungeheuren Unordnung zu erblicken, zuckte die innerliche Zufriedenheit empor, seine eigne Brust nunmehr in Ordnung zu sehen."
104,1268,37253,37458,"fragte ihn, nachdem sich derselbe bei ihm niedergelassen, was er für seine Besitzungen, im Brandenburgischen und im Sächsischen, Haus und Hof, in Pausch und Bogen, es sei nagelfest oder nicht, geben wolle?"
105,800,37459,37768,"Lisbeth, sein Weib, erblaßte bei diesen Worten. Sie wandte sich, und hob ihr Jüngstes auf, das hinter ihr auf dem Boden spielte, Blicke, in welchen sich der Tod malte, bei den roten Wangen des Knaben vorbei, der mit ihren Halsbändern spielte, auf den Roßkamm, und ein Papier werfend, das er in der Hand hielt."
106,24,38359,38439,"mit einem etwas erzwungenen Scherz hinzu, Kohlhaasenbrück sei ja nicht die Welt;"
107,974,38440,38583,"es könne Zwecke geben, in Vergleich mit welchen, seinem Hauswesen, als ein ordentlicher Vater, vorzustehen, untergeordnet und nichtswürdig sei;"
108,976,38584,38700,"und kurz, seine Seele, müsse er ihm sagen, sei auf große Dinge gestellt, von welchen er vielleicht bald hören werde."
109,1909,38993,39013,"Hand hielt, um es zu"
110,802,39566,39721,"Die Frau ging in der Stube auf und ab; ihre Brust flog, daß das Tuch, an welchem der Knabe gezupft hatte, ihr völlig von der Schulter herabzufallen drohte."
111,1648,40321,40342,"erwiderte, daß er die"
112,1937,40392,40407,und daß er auch
113,488,42552,42571,"und die Kinder, die"
114,195,42944,43018,Klage gegen den Junker Wenzel von Tronka eine nichtsnutzige Stänkerei sei.
115,227,43066,43174,"so habe ich mich entschlossen, meine Klage noch einmal, persönlich bei dem Landesherrn selbst, einzureichen."
116,757,43341,43541,"weil ich in einem Lande, liebste Lisbeth, in welchem man mich, in meinen Rechten, nicht schützen will, nicht bleiben mag. Lieber ein Hund sein, wenn ich von Füßen getreten werden soll, als ein Mensch!"
117,1991,43786,43871,"sie beiseite geworfen, oder mit Verweigerung, dich zu hören, beantwortet werden wird?"
118,1397,43940,43956,"ist, so ist auch"
119,229,43988,44259,"Der Herr selbst, weiß ich, ist gerecht; und wenn es mir nur gelingt, durch die, die ihn umringen, bis an seine Person zu kommen, so zweifle ich nicht, ich verschaffe mir Recht, und kehre fröhlich, noch ehe die Woche verstreicht, zu dir und meinen alten Geschäften zurück."
120,1243,44977,45101,"Oh! ich verstehe dich!« rief sie. »Du brauchst jetzt nichts mehr, als Waffen und Pferde; alles andere kann nehmen, wer will!"
121,1270,45722,45801,Lisbeth wagte nicht: ja! ja! ja! zu sagen – sie schüttelte weinend mit dem Kopf
122,445,45908,46065,"Wenn du fühlst, daß mir, falls ich mein Gewerbe forttreiben soll, Recht werden muß: so gönne mir auch die Freiheit, die mir nötig ist, es mir zu verschaffen!"
123,233,46449,46480,"statt seiner, nach Berlin gehen"
124,978,46564,46595,um mehr als einer Ursach willen
125,2305,46651,46793,"liebste Frau, das ist nicht wohl möglich! Der Landesherr ist vielfach umringt, mancherlei Verdrießlichkeiten ist der ausgesetzt, der ihm naht."
126,235,46893,47041,"Gib mir die Bittschrift, wiederholte sie; und wenn du weiter nichts willst, als sie in seinen Händen wissen, so verbürge ich mich dafür: er soll sie"
127,237,47243,47363,"der Kastellan des kurfürstlichen Schlosses, in früheren Zeiten, da er zu Schwerin in Diensten gestanden, um sie geworben"
128,2308,47449,47480,immer noch nicht ganz vergessen
129,239,47536,47607,"aus diesem und manchem andern Umstand, der zu beschreiben zu weitläufig"
130,389,47633,47973,"Kohlhaas küßte sie mit vieler Freude, sagte, daß er ihren Vorschlag annähme, belehrte sie, daß es weiter nichts bedürfe, als einer Wohnung bei der Frau desselben, um den Landesherrn, im Schlosse selbst, anzutreten, gab ihr die Bittschrift, ließ die Braunen anspannen, und schickte sie mit Sternbald, seinem treuen Knecht, wohleingepackt ab."
131,241,47974,48088,"Diese Reise war aber von allen erfolglosen Schritten, die er in seiner Sache getan hatte, der allerunglücklichste."
132,243,48214,48260,mit einer gefährlichen Quetschung an der Brust
133,2312,48290,48421,"Kohlhaas, der bleich an das Fuhrwerk trat, konnte nichts Zusammenhängendes über das, was dieses Unglück verursacht hatte, erfahren."
134,2314,48517,48567,"in einem Wirtshause, das in der Nähe des Schlosses"
135,2316,48701,48774,"und eher nicht, als am Abend, sei sie, in diesem Zustand, zurückgekommen."
136,245,48775,49008,"Es schien, sie hatte sich zu dreist an die Person des Landesherrn vorgedrängt, und, ohne Verschulden desselben, von dem bloßen rohen Eifer einer Wache, die ihn umringte, einen Stoß, mit dem Schaft einer Lanze, vor die Brust erhalten."
137,2320,49009,49115,"Wenigstens berichteten die Leute so, die sie, in bewußtlosem Zustand, gegen Abend in den Gasthof brachten;"
138,980,49116,49203,"denn sie selbst konnte, von aus dem Mund vorquellendem Blute gehindert, wenig sprechen."
139,247,49204,49273,Die Bittschrift war ihr nachher durch einen Ritter abgenommen worden.
140,982,49607,49776,"Kohlhaas brachte sie, die von der Reise völlig zugrunde gerichtet worden war, in ein Bett, wo sie, unter schmerzhaften Bemühungen, Atem zu holen, noch einige Tage lebte."
141,2326,49777,49820,"Man versuchte vergebens, ihr das Bewußtsein"
142,2328,49836,49973,"um über das, was vorgefallen war, einige Aufschlüsse zu erhalten; sie lag, mit starrem, schon gebrochenen Auge, da, und antwortete nicht."
143,429,50580,50640,"Vergib deinen Feinden; tue wohl auch denen, die dich hassen."
144,1273,50644,50723,"Sie drückte ihm dabei mit einem überaus seelenvollen Blick die Hand, und starb."
145,490,50726,50901,"Kohlhaas dachte: »so möge mir Gott nie vergeben, wie ich dem Junker vergebe!« küßte sie, indem ihm häufig die Tränen flossen, drückte ihr die Augen zu, und verließ das Gemach."
146,29,51011,51103,"bestellte ein Leichenbegängnis, das weniger für sie, als für eine Fürstin, angeordnet schien"
147,494,51105,52142,"ein eichener Sarg, stark mit Metall beschlagen, Kissen von Seide, mit goldnen und silbernen Troddeln, und ein Grab von acht Ellen Tiefe, mit Feldsteinen gefüttert und Kalk. Er stand selbst, sein Jüngstes auf dem Arm, bei der Gruft, und sah der Arbeit zu. Als der Begräbnistag kam, ward die Leiche, weiß wie Schnee, in einen Saal aufgestellt, den er mit schwarzem Tuch hatte beschlagen lassen. Der Geistliche hatte eben eine rührende Rede an ihrer Bahre vollendet, als ihm die landesherrliche Resolution auf die Bittschrift zugestellt ward, welche die Abgeschiedene übergeben hatte, des Inhalts: er solle die Pferde von der Tronkenburg abholen, und bei Strafe, in das Gefängnis geworfen zu werden, nicht weiter in dieser Sache einkommen. Kohlhaas steckte den Brief ein, und ließ den Sarg auf den Wagen bringen. Sobald der Hügel geworfen, das Kreuz darauf gepflanzt, und die Gäste, die die Leiche bestattet hatten, entlassen waren, warf er sich noch einmal vor ihrem, nun verödeten Bette nieder, und übernahm sodann das Geschäft der Rache."
148,808,52143,52471,"Er setzte sich nieder und verfaßte einen Rechtsschluß, in welchem er den Junker Wenzel von Tronka, kraft der ihm angeborenen Macht, verdammte, die Rappen, die er ihm abgenommen, und auf den Feldern zugrunde gerichtet, binnen drei Tagen nach Sicht, nach Kohlhaasenbrück zu führen, und in Person in seinen Ställen dick zu füttern."
149,1998,52472,52637,"Diesen Schluß sandte er durch einen reitenden Boten an ihn ab, und instruierte denselben, flugs nach Übergabe des Papiers, wieder bei ihm in Kohlhaasenbrück zu sein."
150,1575,52638,52717,"Da die drei Tage, ohne Überlieferung der Pferde, verflossen, so rief er Hersen;"
151,900,52904,53047,"ob er über den Hergeholten, wenn er bei Erfüllung des Rechtsschlusses, in den Ställen von Kohlhaasenbrück, faul sei, die Peitsche führen wolle?"
152,812,53272,53365,"so verkaufte Kohlhaas das Haus, schickte die Kinder, in einen Wagen gepackt, über die Grenze;"
153,1577,53400,53448,"die übrigen Knechte zusammen, sieben an der Zahl"
154,761,53542,54089,"Er fiel auch, mit diesem kleinen Haufen, schon, beim Einbruch der dritten Nacht, den Zollwärter und Torwächter, die im Gespräch unter dem Tor standen, niederreitend, in die Burg, und während, unter plötzlicher Aufprasselung aller Baracken im Schloßraum, die sie mit Feuer bewarfen, Herse, über die Windeltreppe, in den Turm der Vogtei eilte, und den Schloßvogt und Verwalter, die, halb entkleidet, beim Spiel saßen, mit Hieben und Stichen überfiel, stürzte Kohlhaas zum Junker Wenzel ins Schloß. Der Engel des Gerichts fährt also vom Himmel herab;"
155,2000,54116,54180,"unter vielem Gelächter, dem Troß junger Freunde, der bei ihm war"
156,2176,54182,54243,"den Rechtsschluß, den ihm der Roßkamm übermacht hatte, vorlas"
