text,startpos,endpos,frequency,passage_type
"Die Zurückgebliebenen horchten sorglos dem allmählichen Verhallen des Knarrens und Stoßens der Räder in den Hohlwegen und schliefen sacht weiter. Ein gelegentlicher Schuß, ein schwacher Schrei ließen wohl einmal eine junge Frau oder Braut auffahren; kein anderer achtete darauf. Beim ersten Morgengrau kehrte der Zug ebenso schweigend heim, die Gesichter glühend wie Erz, hier und dort einer mit verbundenem Kopf, was weiter nicht in Betracht kam",4076,4522,1.875,cited
", und nach ein paar Stunden war die Umgegend voll von dem Mißgeschick eines oder mehrerer Forstbeamten, die ",4522,4630,0.0,not_cited
"aus dem Walde getragen wurden, zerschlagen, mit Schnupftabak geblendet und für einige Zeit unfähig, ihrem Berufe nachzukommen.",4630,4756,1.5,cited
"
",4756,4757,0.0,not_cited
In diesen Umgebungen ward Friedrich Mergel geboren,4757,4807,3.0,cited
", in einem Hause, das durch ",4807,4835,0.0,not_cited
die stolze Zugabe eines Rauchfangs und minder kleiner Glasscheiben,4835,4901,1.5,cited
 ,4901,4902,0.0,not_cited
die Ansprüche seines Erbauers sowie durch seine gegenwärtige Verkommenheit die kümmerlichen Umstände des jetzigen Besitzers bezeugte.,4902,5035,2.2,cited
 ,5035,5036,0.0,not_cited
"Das frühere Geländer um Hof und Garten war einem vernachlässigten Zaune gewichen, das Dach schadhaft, fremdes Vieh weidete auf den Triften, fremdes Korn wuchs auf dem Acker zunächst am Hofe, und der Garten enthielt, außer ein paar holzichten Rosenstöcken aus besserer Zeit, mehr Unkraut als Kraut.",5036,5333,1.8333333333333333,cited
 ,5333,5334,0.0,not_cited
Freilich hatten Unglücksfälle manches hiervon herbeigeführt; doch war auch viel Unordnung und böse Wirtschaft im Spiel.,5334,5453,1.5,cited
" Friedrichs Vater, der alte Hermann Mergel, war ",5453,5501,0.0,not_cited
"in seinem Junggesellenstande ein sogenannter ordentlicher Säufer, das heißt einer, der nur an Sonn- und Festtagen in der Rinne lag und die Woche hindurch so manierlich war wie ein anderer.",5501,5689,1.8,cited
 So war denn auch seine Bewerbung um ein recht hübsches und wohlhabendes Mädchen ihm nicht erschwert. ,5689,5791,0.0,not_cited
Auf der Hochzeit gings lustig zu.,5791,5824,1.0,cited
" Mergel war gar nicht so arg betrunken, und die Eltern der Braut gingen abends vergnügt heim; ",5824,5918,0.0,not_cited
aber am nächsten Sonntage sah man die junge Frau schreiend und blutrünstig durchs Dorf zu den ihrigen rennen,5918,6026,2.0,cited
", alle ihre guten Kleider und neues Hausgerät im Stich lassend. Das war freilich ein großer ",6026,6118,0.0,not_cited
"Skandal und Ärger für Mergel, der allerdings Trostes bedurfte.",6118,6180,1.0,cited
 So war denn auch am Nachmittage keine ,6180,6219,0.0,not_cited
"Scheibe an seinem Hause mehr ganz, und man sah ihn noch bis spät in die Nacht vor der Türschwelle liegen, einen abgebrochenen Flaschenhals von Zeit zu Zeit zum Munde führend und sich Gesicht und Hände jämmerlich zerschneidend.",6219,6445,2.0,cited
 ,6445,6446,0.0,not_cited
"Die junge Frau blieb bei ihren Eltern, wo sie bald verkümmerte und starb.",6446,6519,1.5,cited
 ,6519,6520,0.0,not_cited
"Ob nun den Mergel Reue quälte oder Scham, genug, er schien der Trostmittel immer bedürftiger und fing bald an, den gänzlich verkommenen Subjekten zugezählt zu werden.",6520,6686,1.5,cited
"
Die Wirtschaft verfiel; fremde ",6686,6718,0.0,not_cited
Mägde brachten Schimpf und Schaden;,6718,6753,1.0,cited
 so verging Jahr auf Jahr. Mergel war und blieb ,6753,6801,0.0,not_cited
ein verlegener und zuletzt ziemlich armseliger Witwer,6801,6854,3.5,cited
", bis er mit einemmale wieder als Bräutigam auftrat. War die Sache an und für sich unerwartet, so trug die Persönlichkeit der Braut noch dazu bei, die Verwunderung zu erhöhen. Margreth Semmler ",6854,7047,0.0,not_cited
"war eine brave, anständige Person, so in den Vierzigen, in ihrer Jugend eine Dorfschönheit und noch jetzt als sehr klug und wirtlich geachtet, dabei nicht unvermögend;",7047,7214,2.0,cited
 ,7214,7215,0.0,not_cited
"und so mußte es jedem unbegreiflich sein, was sie zu diesem Schritte getrieben. Wir glauben den Grund eben in dieser ihrer selbstbewußten Vollkommenheit zu finden.",7215,7378,3.5,cited
 ,7378,7379,0.0,not_cited
"Am Abend vor der Hochzeit soll sie gesagt haben: »Eine Frau, die von ihrem Manne übel behandelt wird, ist dumm oder taugt nicht: wenns mir schlecht geht, so sagt, es liege an mir.",7379,7558,4.0,cited
"« Der Erfolg zeigte leider, ",7558,7586,0.0,not_cited
daß sie ihre Kräfte überschätzt,7586,7617,2.0,cited
" hatte. Anfangs imponierte sie ihrem Manne; er kam nicht nach Haus oder kroch in die Scheune, wenn er sich übernommen hatte; ",7617,7742,0.0,not_cited
"aber das Joch war zu drückend, um lange getragen zu werden",7742,7800,1.5,cited
", ",7800,7802,0.0,not_cited
"und bald sah man ihn oft genug quer über die Gasse ins Haus taumeln, hörte drinnen sein wüstes Lärmen und sah Margreth eilends Tür und Fenster schließen.",7802,7955,1.5,cited
 ,7955,7956,0.0,not_cited
"An einem solchen Tage – keinem Sonntage mehr – sah man sie abends aus dem Hause stürzen, ohne Haube und Halstuch, das Haar wild um den Kopf hängend, sich im Garten neben ein Krautbeet niederwerfen und die Erde mit den Händen aufwühlen, dann ängstlich um sich schauen, rasch ein Bündel Kräuter brechen und damit langsam wieder dem Hause zugehen, aber nicht hinein, sondern in die Scheune. Es hieß, an diesem Tage habe Mergel zuerst Hand an sie gelegt, obwohl das Bekenntnis nie über ihre Lippen kam.",7956,8454,1.5,cited
"
",8454,8455,0.0,not_cited
"Das zweite Jahr dieser unglücklichen Ehe ward mit einem Sohne – man kann nicht sagen – erfreut; denn Margreth soll sehr geweint haben, als man ihr das Kind reichte.",8455,8619,3.6666666666666665,cited
" Dennoch, obwohl ",8619,8636,0.0,not_cited
unter einem Herzen voll Gram getragen,8636,8673,1.0,cited
", war Friedrich ",8673,8689,0.0,not_cited
"ein gesundes hübsches Kind, das",8689,8720,1.0,cited
 ,8720,8721,0.0,not_cited
in der frischen Luft kräftig gedieh.,8721,8757,1.0,cited
" Der Vater hatte ihn sehr lieb, kam ",8757,8793,0.0,not_cited
"nie nach Hause, ohne ihm ein Stückchen Wecken oder dergleichen mitzubringen",8793,8868,1.0,cited
", und ",8868,8874,0.0,not_cited
"man meinte sogar, er sei seit der Geburt des Knaben ordentlicher geworden; wenigstens ward das Lärmen im Hause geringer.",8874,8994,2.0,cited
"
Friedrich stand in seinem neunten Jahre. Es war ",8994,9043,0.0,not_cited
um das Fest der heiligen drei Könige,9043,9079,1.3333333333333333,cited
", eine harte, stürmische Winternacht. Hermann war zu einer Hochzeit gegangen und hatte sich schon beizeiten auf den Weg gemacht, da das Brauthaus dreiviertel Meilen entfernt lag. Obgleich er versprochen hatte, abends wiederzukommen, rechnete Frau Mergel doch ",9079,9338,0.0,not_cited
"um so weniger darauf, da sich nach Sonnenuntergang dichtes Schneegestöber eingestellt hatte.",9338,9430,2.0,cited
" Gegen zehn Uhr schürte sie die Asche am Herde zusammen und machte sich zum Schlafengehen bereit. Friedrich stand neben ihr, schon halb entkleidet, und horchte auf das ",9430,9598,0.0,not_cited
Geheul des Windes und das Klappen der Bodenfenster.,9598,9649,1.0,cited
"
»",9649,9651,0.0,not_cited
"Mutter, kommt der Vater heute nicht?« fragte er. – »Nein, Kind, morgen.« – »Aber warum nicht, Mutter? Er hats doch versprochen.« – »Ach Gott, wenn der alles hielte, was er verspricht! Mach, mach voran, daß du fertig wirst!",9651,9873,1.5,cited
"«
",9873,9875,0.0,not_cited
"Sie hatten sich kaum niedergelegt, so erhob sich eine Windsbraut, als ob sie das Haus mitnehmen wollte. Die Bettstatt bebte, und im Schornstein rasselte es wie ein Kobold. – »Mutter – es pocht draußen!« – »Still, Fritzchen, das ist das lockere Brett im Giebel, das der Wind jagt.« – »Nein, Mutter, an der Tür!« – »Sie schließt nicht; die Klinke ist zerbrochen. Gott, schlaf doch! Bring mich nicht um das armselige bißchen Nachtruhe.« – »Aber wenn nun der Vater kommt?« – Die Mutter drehte sich heftig im Bett um. – »Den hält der Teufel fest genug!« – »Wo ist der Teufel, Mutter?« – »Wart, du Unrast! Er steht vor der Tür und will dich holen, wenn du nicht ruhig bist!«
Friedrich ward still; er horchte noch ein Weilchen und schlief dann ein. Nach einigen Stunden erwachte er. Der Wind hatte sich gewendet und zischte jetzt wie eine Schlange durch die Fensterritze an seinem Ohr. Seine Schulter war erstarrt; er kroch tief unters Deckbett und lag aus Furcht ganz still. Nach einer Weile bemerkte er, daß die Mutter auch nicht schlief. Er hörte sie weinen und mitunter: »Gegrüßt seist du, Maria!« und »bitte für uns arme Sünder!« Die Kügelchen des Rosenkranzes glitten an seinem Gesicht hin. – Ein unwillkürlicher Seufzer entfuhr ihm.",9875,11107,3.611111111111111,cited
" – »Friedrich, bist du wach?« – »Ja, Mutter.« – »",11107,11156,0.0,not_cited
"Kind, bete ein wenig – du kannst ja schon das halbe Vaterunser – daß Gott uns bewahre vor Wasser- und",11156,11257,1.0,cited
" Feuersnot.«
",11257,11270,0.0,not_cited
"Friedrich dachte an den Teufel, wie der wohl aussehen möge. Das mannigfache Geräusch und Getöse im Hause kam ihm wunderlich vor. Er meinte, es müsse etwas Lebendiges drinnen sein und draußen auch.",11270,11466,2.25,cited
 »,11466,11468,0.0,not_cited
"Hör, Mutter, gewiß, da sind Leute, die pochen.« – »Ach nein, Kind; aber es ist kein altes Brett im Hause, das nicht klappert.« – »Hör! hörst du nicht? Es ruft! Hör doch!",11468,11637,1.75,cited
"«
",11637,11639,0.0,not_cited
Die Mutter richtete sich auf; das Toben des Sturms ließ einen Augenblick nach. Man hörte deutlich an den Fensterläden pochen und mehrere Stimmen,11639,11783,1.5,cited
": »Margreth! Frau Margreth, heda, aufgemacht!« – ",11783,11832,0.0,not_cited
Margreth stieß einen heftigen Laut aus: »Da bringen sie mir das Schwein wieder!,11832,11911,8.0,cited
"«
",11911,11913,0.0,not_cited
"Der Rosenkranz flog klappernd auf den Brettstuhl, die Kleider wurden herbeigerissen. Sie fuhr zum Herde, und bald darauf hörte Friedrich sie mit trotzigen Schritten über die Tenne gehen. Margreth kam gar nicht wieder; aber in der Küche war viel Gemurmel und fremde Stimmen. Zweimal kam ein fremder Mann in die Kammer",11913,12229,2.5,cited
 und schien ängstlich etwas zu suchen. Mit einemmale ward eine Lampe hereingebracht; ,12229,12314,0.0,not_cited
"zwei Männer führten die Mutter. Sie war weiß wie Kreide und hatte die Augen geschlossen. Friedrich meinte, sie sei tot; er erhob ein fürchterliches Geschrei, worauf ihm jemand eine Ohrfeige gab, was ihn zur Ruhe brachte, und nun begriff er nach und nach aus den Reden der Umstehenden, daß der Vater von Ohm Franz Semmler und dem Hülsmeyer tot im Holze gefunden sei und jetzt in der Küche liege.",12314,12708,2.0,cited
"
",12708,12709,0.0,not_cited
"Sobald Margreth wieder zur Besinnung kam, suchte sie die fremden Leute",12709,12779,2.0,cited
 loszuwerden. ,12779,12793,0.0,not_cited
"Der Bruder blieb bei ihr, und Friedrich, dem bei strenger Strafe im Bett zu bleiben geboten war, hörte die ganze Nacht hindurch das Feuer in der Küche knistern und ein Geräusch wie von Hin- und Herrutschen und Bürsten. Gesprochen ward wenig und leise, aber zuweilen drangen Seufzer herüber, die dem Knaben, so jung er war, durch Mark und Bein gingen. Einmal verstand er, daß der Oheim sagte: »Margreth, zieh dir das nicht zu Gemüt; wir wollen jeder drei Messen lesen lassen, und um Ostern gehen wir zusammen eine Bittfahrt zur Mutter Gottes von Werl.",12793,13343,3.7058823529411766,cited
"«
",13343,13345,0.0,not_cited
"Als nach zwei Tagen die Leiche fortgetragen wurde, saß Margreth am Herde, das Gesicht mit der Schürze verhüllend.",13345,13458,1.0,cited
" Nach einigen Minuten, als alles still geworden war, sagte sie in sich hinein: »",13458,13538,0.0,not_cited
"Zehn Jahre, zehn Kreuze! Wir haben sie doch zusammen getragen, und jetzt bin ich allein! »Dann lauter: »Fritzchen, komm her!« – Friedrich kam scheu heran; die Mutter war ihm ganz unheimlich geworden mit den schwarzen Bändern und den verstörten Zügen. »Fritzchen«, sagte sie, »willst du jetzt auch fromm sein, daß ich Freude an dir habe, oder willst du unartig sein und lügen, oder saufen und stehlen?« – »Mutter, Hülsmeyer stiehlt.« – »Hülsmeyer? Gott bewahre! Soll ich dir auf den Rücken kommen? Wer sagt dir so schlechtes Zeug?« – »Er hat neulich den Aaron geprügelt und ihm sechs Groschen genommen.« – »Hat er dem Aaron Geld genommen, so hat ihn der verfluchte Jude gewiß zuvor darum betrogen. Hülsmeyer ist ein ordentlicher angesessener Mann, und die Juden sind alle Schelme.« – »Aber, Mutter, Brandis sagt auch, daß er Holz und Rehe stiehlt.« – »Kind, Brandis ist ein Förster.« – »Mutter, lügen die Förster?«
Margreth schwieg eine Weile, dann sagte sie: »Höre, Fritz, das Holz läßt unser Herrgott frei wachsen, und das Wild wechselt aus eines Herren Lande in das andere; die können niemand angehören. Doch das verstehst du noch nicht; jetzt geh in den Schuppen und hole mir Reisig.",13538,14724,5.976190476190476,cited
"«
",14724,14726,0.0,not_cited
"Friedrich hatte seinen Vater auf dem Stroh gesehen, wo er, wie man sagt, blau und fürchterlich ausgesehen haben soll.",14726,14843,1.4,cited
 Aber davon erzählte er nie und schien ungern daran zu denken. Überhaupt hatte ,14843,14922,0.0,not_cited
die Erinnerung an seinen Vater eine mit Grausen gemischte Zärtlichkeit in,14922,14995,2.8,cited
" ihm zurückgelassen, ",14995,15016,0.0,not_cited
"wie denn nichts so fesselt wie die Liebe und Sorgfalt eines Wesens, das gegen alles übrige verhärtet scheint",15016,15124,1.0,cited
", und ",15124,15130,0.0,not_cited
"bei Friedrich wuchs dieses Gefühl mit den Jahren durch das Gefühl mancher Zurücksetzung von seiten anderer. Es war ihm äußerst empfindlich, wenn, solange er Kind war, jemand des Verstorbenen nicht allzu löblich gedachte; ein Kummer, den ihm das Zartgefühl der Nachbarn nicht ersparte.",15130,15414,1.5,cited
 ,15414,15415,0.0,not_cited
"Es ist gewöhnlich in jenen Gegenden, den Verunglückten die Ruhe im Grabe abzusprechen. Der alte Mergel war das Gespenst des Brederholzes geworden; einen Betrunkenen führte er als Irrlicht bei einem Haar in den Zellerkolk; die Hirtenknaben, wenn sie nachts bei ihren Feuern kauerten und die Eulen in den Gründen schrieen, hörten zuweilen in abgebrochenen Tönen ganz deutlich dazwischen sein »Hör mal an, feins Liseken«, und ein unprivilegierter Holzhauer, der unter der breiten Eiche eingeschlafen und dem es darüber Nacht geworden war, hatte beim Erwachen sein geschwollenes Gesicht durch die Zweige lauschen sehen.",15415,16030,2.8,cited
 ,16030,16031,0.0,not_cited
"Friedrich mußte von andern Knaben vieles darüber hören; dann heulte er, schlug um sich, stach auch einmal mit seinem Messerchen und wurde bei dieser Gelegenheit jämmerlich geprügelt. Seitdem trieb er seiner Mutter Kühe allein an das andere Ende des Tales, wo man ihn oft stundenlang in derselben Stellung im Grase liegen und den Thymian aus dem Boden rupfen sah.",16031,16393,2.75,cited
"
Er war zwölf Jahre alt, als seine Mutter einen Besuch von ihrem jüngeren Bruder erhielt, der in Brede wohnte und seit der törichten Heirat seiner Schwester ihre Schwelle nicht betreten hatte. ",16393,16586,0.0,not_cited
"Simon Semmler war ein kleiner, unruhiger, magerer Mann mit vor dem Kopf liegenden Fischaugen und überhaupt einem Gesicht wie ein Hecht, ein unheimlicher Geselle, bei dem dicktuende Verschlossenheit oft mit ebenso gesuchter Treuherzigkeit wechselte, der gern einen aufgeklärten Kopf vorgestellt hätte und statt dessen für einen fatalen, Händel suchenden Kerl galt, dem jeder um so lieber aus dem Wege ging, je mehr er in das Alter trat, wo ohnehin beschränkte Menschen leicht an Ansprüchen gewinnen, was sie an Brauchbarkeit verlieren.",16586,17120,2.6363636363636362,cited
" Dennoch freute sich die arme Margreth, die ",17120,17164,0.0,not_cited
sonst keinen der Ihrigen mehr am Leben hatte.,17164,17209,1.0,cited
"
»",17209,17211,0.0,not_cited
"Simon, bist du da?« sagte sie und zitterte, daß sie sich am Stuhle halten mußte. »Willst du sehen, wie es mir geht und meinem schmutzigen Jungen?",17211,17356,2.5,cited
" – Simon betrachtete sie ernst und reichte ihr die Hand: »Du bist alt geworden, Margreth!« – Margreth seufzte: »Es ist mir derweil oft bitterlich gegangen mit allerlei Schicksalen.« – »",17356,17541,0.0,not_cited
"Ja, Mädchen, zu spät gefreit hat immer gereut! Jetzt bist du alt, und das Kind ist klein. Jedes Ding hat seine Zeit. Aber wenn ein altes Haus brennt, dann hilft kein Löschen.« – Über Margreths vergrämtes Gesicht flog eine Flamme, so rot wie Blut.
»Aber ich höre, dein Junge ist schlau und gewichst«, fuhr Simon fort. – »Ei nun, so ziemlich, und dabei fromm.« – »Hum, 's hat mal einer eine Kuh gestohlen, der hieß auch Fromm. Aber er ist still und nachdenklich, nicht wahr? Er läuft nicht mit den anderen Buben?« – »Er ist ein eigenes Kind«, sagte Margreth wie für sich, »es ist nicht gut.« – Simon lachte hell auf: »Dein Junge ist scheu, weil ihn die anderen ein paarmal gut durchgedroschen haben. Das wird ihnen der Bursche schon wieder bezahlen. Hülsmeyer war neulich bei mir, der sagte: ›Es ist ein Junge wie 'n Reh.‹«
Welcher Mutter geht das Herz nicht auf, wenn sie ihr Kind loben hört?",17541,18432,3.1785714285714284,cited
" Der armen Margreth ward selten so wohl, ",18432,18473,0.0,not_cited
jedermann nannte ihren Jungen tückisch und verschlossen.,18473,18529,2.0,cited
" Die Tränen traten ihr in die Augen. »Ja, gottlob, er hat gerade Glieder.« – »Wie sieht er aus?« fuhr Simon fort. – »",18529,18646,0.0,not_cited
"Er hat viel von dir, Simon, viel.",18646,18679,2.3333333333333335,cited
"«
",18679,18681,0.0,not_cited
"Simon lachte: »Ei, das muß ein rarer Kerl sein, ich werde alle Tage schöner. An der Schule soll er sich wohl nicht verbrennen. Du läßt ihn die Kühe hüten? Ebenso gut. Es ist doch nicht halb wahr, was der Magister sagt. Aber wo hütet er? Im Telgengrund? im Roderholze? im Teutoburger Wald? auch des Nachts und früh?« – »Die ganzen Nächte durch; aber wie meinst du das?«
Simon schien dies zu überhören;",18681,19081,1.625,cited
" er reckte den Hals zur Türe hinaus: »Ei, da kommt der Gesell! Vaterssohn! Er schlenkert gerade so mit den Armen wie dein seliger Mann. Und schau mal an! Wahrhaftig, der Junge hat meine blonden Haare!«
",19081,19283,0.0,not_cited
"In der Mutter Züge kam ein heimliches, stolzes Lächeln; ihres Friedrichs blonde Locken und Simons rötliche Bürsten!",19283,19398,1.0,cited
" Ohne zu antworten, brach sie einen Zweig von der nächsten Hecke und ging ihrem Sohne entgegen, scheinbar, eine träge Kuh anzutreiben, im Grunde aber, ihm einige rasche, halbdrohende Worte zuzuraunen; ",19398,19599,0.0,not_cited
denn sie kannte seine störrische Natur,19599,19637,1.0,cited
", und ",19637,19643,0.0,not_cited
Simons Weise war ihr heute einschüchternder vorgekommen als je.,19643,19706,1.0,cited
" Doch ging alles über Erwarten gut; Friedrich zeigte sich weder verstockt noch frech, vielmehr etwas blöde und sehr bemüht, dem Ohm zu gefallen. So kam es denn dahin, daß nach einer halbstündigen Unterredung Simon ",19706,19920,0.0,not_cited
eine Art Adoption des Knaben in Vorschlag brachte,19920,19969,1.0,cited
", vermöge deren er denselben zwar nicht gänzlich seiner Mutter entziehen, aber doch über den größten Teil seiner Zeit verfügen wollte, wofür ihm ",19969,20114,0.0,not_cited
"dann am Ende des alten Junggesellen Erbe zufallen solle, das ihm freilich ohnedies nicht entgehen konnte.",20114,20219,1.3333333333333333,cited
" Margreth ließ sich geduldig auseinandersetzen, wie groß der Vorteil, wie gering die Entbehrung ihrerseits bei dem Handel sei. Sie wußte am besten, was eine kränkliche Witwe an der Hülfe eines zwölfjährigen Knaben entbehrt, den sie ",20219,20451,0.0,not_cited
"bereits gewöhnt hat, die Stelle einer Tochter zu ersetzen.",20451,20509,1.3333333333333333,cited
 ,20509,20510,0.0,not_cited
Doch sie schwieg und gab sich in alles.,20510,20549,1.0,cited
 Nur bat sie ,20549,20562,0.0,not_cited
"den Bruder, streng, doch nicht hart gegen den Knaben zu sein.",20562,20623,2.0,cited
"
»Er ist gut«, sagte sie, »aber ich bin eine einsame Frau; ",20623,20682,0.0,not_cited
"mein Kind ist nicht wie einer, über den Vaterhand regiert hat.",20682,20744,1.0,cited
"« Simon nickte schlau mit dem Kopf: »Laß mich nur gewähren, wir wollen uns schon vertragen, ",20744,20836,0.0,not_cited
und weißt du was?,20836,20853,1.0,cited
" Gib mir den Jungen gleich mit, ich habe zwei Säcke aus der Mühle zu holen; der kleinste ist ihm grad recht, und so lernt er mir zur Hand gehen. Komm, Fritzchen, zieh deine Holzschuh an!« – ",20853,21043,0.0,not_cited
"Und bald sah Margreth den beiden nach, wie sie fortschritten, Simon voran, mit seinem Gesicht die Luft durchschneidend, während ihm die Schöße des roten Rocks wie Feuerflammen nachzogen. So hatte er ziemlich das Ansehen eines feurigen Mannes, der unter dem gestohlenen Sacke büßt; Friedrich ihm nach, fein und schlank für sein Alter, mit zarten, fast edlen Zügen und langen, blonden Locken, die besser gepflegt waren, als sein übriges Äußere erwarten ließ; übrigens zerlumpt, sonneverbrannt und mit dem Ausdruck der Vernachlässigung und einer gewissen rohen Melancholie in den Zügen. Dennoch war eine große Familienähnlichkeit beider nicht zu verkennen, und wie Friedrich so langsam seinem Führer nachtrat, die Blicke fest auf denselben geheftet, der ihn gerade durch das Seltsame seiner Erscheinung anzog, erinnerte er unwillkürlich an jemand, der in einem Zauberspiegel das Bild seiner Zukunft mit verstörter Aufmerksamkeit betrachtet.",21043,21980,5.964285714285714,cited
"
Jetzt nahten die beiden sich ",21980,22010,0.0,not_cited
"der Stelle des Teutoburger Waldes, wo das Brederholz den Abhang des Gebirges niedersteigt und einen sehr dunkeln Grund ausfüllt.",22010,22138,1.6666666666666667,cited
" Bis jetzt war wenig gesprochen worden. Simon schien nachdenkend, der Knabe zerstreut, und beide keuchten unter ihren Säcken. Plötzlich fragte Simon: »Trinkst du gern Branntwein?« – Der Knabe antwortete nicht. »Ich ",22138,22353,0.0,not_cited
"frage, trinkst du gern Branntwein?",22353,22387,1.0,cited
" Gibt dir die Mutter zuweilen welchen?« – »Die Mutter hat selbst keinen«, sagte Friedrich. – »So, so, desto besser! – ",22387,22505,0.0,not_cited
Kennst du das Holz da vor uns?,22505,22535,1.0,cited
« – »Das ist das Brederholz.« – »,22535,22568,0.0,not_cited
"Weißt du auch, was darin vorgefallen",22568,22604,1.0,cited
 ist?« – Friedrich schwieg. Indessen kamen sie der düstern Schlucht immer näher. »,22604,22686,0.0,not_cited
"Betet die Mutter noch so viel?« hob Simon wieder an. – »Ja, jeden Abend zwei Rosenkränze.« – »So? Und du betest mit?",22686,22802,1.0,cited
« – ,22802,22806,0.0,not_cited
Der Knabe lachte halb verlegen mit einem durchtriebenen Seitenblick.,22806,22874,1.0,cited
 – »,22874,22878,0.0,not_cited
"Die Mutter betet in der Dämmerung vor dem Essen den einen Rosenkranz, dann bin ich meist noch nicht wieder da mit den Kühen, und den andern im Bette, dann schlaf ich gewöhnlich",22878,23054,1.0,cited
" ein.« – »So, so, Geselle!« – ",23054,23084,0.0,not_cited
