text,startpos,endpos,frequency,passage_type
"Hm! Schade! versetzte Kohlhaas. Ein würdiger alter Herr, der seine Freude am Verkehr der Menschen hatte, Handel und Wandel, wo er nur vermochte, forthalf, und einen Steindamm einst bauen ließ, weil mir eine Stute, draußen, wo der Weg ins Dorf geht, das Bein gebrochen.",1982,2250,3.75,cited
 Nun! Was bin ich schuldig? – fragte er; und holte ,2250,2301,0.0,not_cited
"die Groschen, die der Zollwärter verlangte",2301,2343,1.0,cited
", mühselig unter dem im Winde flatternden Mantel hervor. »Ja, Alter«, setzte er noch hinzu, da dieser: hurtig! hurtig! murmelte, und über die Witterung fluchte: »",2343,2505,0.0,not_cited
"wenn der Baum im Walde stehen geblieben wäre, wär's besser gewesen, für mich und Euch",2505,2590,1.6666666666666667,cited
«; und ,2590,2597,0.0,not_cited
"damit gab er ihm das Geld und wollte reiten. Er war aber noch kaum unter den Schlagbaum gekommen, als eine neue Stimme schon: halt dort, der Roßkamm! hinter ihm vom Turm erscholl, und er den Burgvogt ein Fenster zuwerfen und zu ihm herabeilen sah. Nun, was gibt's Neues? fragte Kohlhaas bei sich selbst, und hielt mit den Pferden an.",2597,2930,1.6666666666666667,cited
" Der Burgvogt, ",2930,2945,0.0,not_cited
indem er sich noch eine Weste über seinen weitläufigen Leib zuknüpfte,2945,3014,1.0,cited
", kam, und ",3014,3025,0.0,not_cited
"fragte, schief gegen die Witterung gestellt, nach dem Paßschein. – Kohlhaas fragte: der Paßschein? Er sagte, ein wenig betreten, daß er, soviel er wisse, keinen habe; daß man ihm aber nur beschreiben möchte, was dies für ein Ding des Herrn sei: so werde er vielleicht zufälligerweise damit versehen sein. Der Schloßvogt, indem er ihn von der Seite ansah, versetzte, daß ohne einen landesherrlichen Erlaubnisschein, kein Roßkamm mit Pferden über die Grenze gelassen würde. Der Roßkamm versicherte, daß er siebzehn Mal in seinem Leben, ohne einen solchen Schein, über die Grenze gezogen sei; daß er alle landesherrlichen Verfügungen, die sein Gewerbe angingen, genau kennte; daß dies wohl nur ein Irrtum sein würde, wegen dessen er sich zu bedenken bitte, und daß man ihn, da seine Tagereise lang sei, nicht länger unnützerweise hier aufhalten möge. Doch der Vogt erwiderte, daß er das achtzehnte Mal nicht durchschlüpfen würde, daß die Verordnung deshalb erst neuerlich erschienen wäre, und daß er entweder den Paßschein noch hier lösen, oder zurückkehren müsse, wo er hergekommen sei.",3025,4109,2.5,cited
" Der Roßhändler, den diese ungesetzlichen Erpressungen zu erbittern anfingen, stieg, nach einer kurzen Besinnung, vom Pferde, gab es einem Knecht, und sagte, daß ",4109,4271,0.0,not_cited
er den Junker von Tronka selbst darüber sprechen,4271,4319,2.75,cited
 würde. Er ging auch auf die Burg; ,4319,4354,0.0,not_cited
"der Vogt folgte ihm, indem er von filzigen Geldraffern und nützlichen Aderlässen derselben murmelte;",4354,4454,2.4,cited
 und beide ,4454,4465,0.0,not_cited
"traten, mit ihren Blicken einander messend, in den Saal.",4465,4521,1.0,cited
 ,4521,4522,0.0,not_cited
"Es traf sich, daß der Junker eben, mit einigen muntern Freunden, beim Becher saß, und, um eines Schwanks willen, ein unendliches Gelächter unter ihnen erscholl, als Kohlhaas, um seine Beschwerde anzubringen, sich ihm näherte. Der Junker fragte, was er wolle; die Ritter, als sie den fremden Mann erblickten, wurden still; doch kaum hatte dieser sein Gesuch, die Pferde betreffend, angefangen, als der ganze Troß schon: Pferde? Wo sind sie? ausrief, und an die Fenster eilte, um sie zu betrachten.",4522,5018,2.5,cited
" Sie flogen, da sie die glänzende Koppel sahen, auf den Vorschlag des Junkers, in den Hof hinab; der Regen hatte aufgehört; ",5018,5142,0.0,not_cited
Schloßvogt und Verwalter und,5142,5170,1.0,cited
" Knechte versammelten sich um sie, und alle musterten die Tiere. Der eine lobte den Schweißfuchs mit der Blesse, dem andern gefiel der Kastanienbraune, der dritte streichelte den Schecken mit schwarzgelben Flecken; und alle meinten, daß die Pferde wie Hirsche wären, und im Lande keine bessern gezogen würden. Kohlhaas erwiderte munter, daß die Pferde nicht besser wären, als ",5170,5546,0.0,not_cited
"die Ritter, die sie reiten sollten;",5546,5581,1.0,cited
" und forderte sie auf, zu kaufen. Der Junker, den der mächtige Schweißhengst sehr reizte, befragte ihn auch um den Preis; der ",5581,5707,0.0,not_cited
"Verwalter lag ihm an, ein Paar Rappen zu kaufen, die er, wegen Pferdemangels, in der Wirtschaft gebrauchen zu können glaubte;",5707,5832,1.5,cited
" doch als der Roßkamm sich erklärt hatte, fanden die Ritter ihn zu teuer, und ",5832,5910,0.0,not_cited
"der Junker sagte, daß er nach der Tafelrunde reiten und sich den König Arthur aufsuchen müsse, wenn er die Pferde so anschlage.",5910,6037,1.0,cited
" Kohlhaas, der ",6037,6052,0.0,not_cited
den Schloßvogt und den Verwalter,6052,6084,2.0,cited
", indem sie sprechende Blicke auf die Rappen warfen, miteinander flüstern sah, ließ es, aus einer dunkeln Vorahndung, ",6084,6202,0.0,not_cited
"an nichts fehlen, die Pferde an sie",6202,6237,1.0,cited
" loszuwerden. Er sagte zum Junker: »Herr, die Rappen habe ich vor sechs Monaten für 25 Goldgülden gekauft; gebt mir 30, so sollt Ihr sie haben.« Zwei Ritter, die neben dem Junker standen, äußerten nicht undeutlich, daß die Pferde wohl so viel wert wären; doch ",6237,6497,0.0,not_cited
"der Junker meinte, daß er für den Schweißfuchs wohl, aber nicht eben für die Rappen, Geld ausgeben",6497,6595,1.0,cited
" möchte, und machte Anstalten, aufzubrechen; worauf Kohlhaas sagte, er würde vielleicht das nächste Mal, wenn er wieder mit seinen Gaulen durchzöge, einen Handel mit ihm machen; sich dem Junker empfahl, und die Zügel seines Pferdes ergriff, um abzureiten. In diesem Augenblick trat der Schloßvogt aus dem Haufen vor, und sagte, er höre, daß er ohne einen Paßschein nicht reisen dürfe. ",6595,6980,0.0,not_cited
"Kohlhaas wandte sich und fragte den Junker, ob es denn mit diesem Umstand, der sein ganzes Gewerbe zerstöre, in der Tat seine Richtigkeit habe? Der Junker antwortete, mit einem verlegnen Gesicht, indem er abging: ja, Kohlhaas, den Paß mußt du lösen. Sprich mit dem Schloßvogt, und zieh deiner Wege.",6980,7278,2.2,cited
" Kohlhaas versicherte ihn, ",7278,7305,0.0,not_cited
"daß es gar nicht seine Absicht sei, die Verordnungen, die wegen Ausführung der Pferde bestehen",7305,7399,1.0,cited
" möchten, zu umgehen; ",7399,7421,0.0,not_cited
"versprach, bei seinem Durchzug durch Dresden, den Paß in der Geheimschreiberei zu lösen, und bat, ihn nur diesmal, da er von dieser Forderung durchaus nichts gewußt, ziehen zu lassen. Nun! sprach der Junker, da eben das Wetter wieder zu stürmen anfing, und seine dürren Glieder durchsauste: laßt den Schlucker laufen. Kommt! sagte er zu den Rittern, kehrte sich um, und wollte nach dem Schlosse gehen. Der Schloßvogt sagte, zum Junker gewandt, daß er wenigstens ein Pfand, zur Sicherheit, daß er den Schein lösen würde, zurücklassen müsse. Der Junker blieb wieder unter dem Schloßtor stehen.",7421,8012,2.25,cited
" Kohlhaas fragte, welchen Wert er denn, an Geld oder an Sachen, zum Pfande, wegen der Rappen, zurücklassen solle? ",8012,8126,0.0,not_cited
"Der Verwalter meinte, in den Bart murmelnd, er könne ja die Rappen selbst zurücklassen.",8126,8213,1.0,cited
" Allerdings, sagte der Schloßvogt, das ist das zweckmäßigste; ist der Paß gelöst, so kann er sie zu jeder Zeit wieder abholen. ",8213,8340,0.0,not_cited
"Kohlhaas, über eine so unverschämte Forderung betreten, sagte dem Junker, der sich die Wamsschöße frierend vor den Leib hielt, daß er die Rappen ja verkaufen wolle; doch dieser, da in demselben Augenblick ein Windstoß eine ganze Last von Regen und Hagel durchs Tor jagte, rief, um der Sache ein Ende zu machen: wenn er die Pferde nicht loslassen will, so schmeißt ihn wieder über den Schlagbaum zurück; und ging ab.",8340,8755,3.3,cited
" Der Roßkamm, ",8755,8769,0.0,not_cited
"der wohl sah, daß er hier der Gewalttätigkeit weichen mußte",8769,8828,1.75,cited
", entschloß sich, die Forderung, ",8828,8861,0.0,not_cited
weil doch nichts anders übrigblieb,8861,8895,3.0,cited
", zu erfüllen; spannte die Rappen aus, und führte sie in einen Stall, den ihm der Schloßvogt anwies. Er ließ einen Knecht bei ihnen zurück, versah ihn mit Geld, ermahnte ihn, die Pferde, bis zu seiner Zurückkunft, wohl in acht zu nehmen, und setzte ",8895,9144,0.0,not_cited
"seine Reise, mit dem Rest der Koppel, halb und halb ungewiß, ob nicht doch wohl, wegen aufkeimender Pferdezucht, ein solches Gebot, im Sächsischen, erschienen sein könne, nach Leipzig, wo er auf die Messe wollte, fort.",9144,9362,1.625,cited
"
In Dresden, wo ",9362,9378,0.0,not_cited
"er, in einer der Vorstädte der Stadt, ein Haus mit einigen Ställen besaß, weil er von hier aus seinen Handel auf den kleineren Märkten des Landes zu bestreiten pflegte",9378,9545,1.0,cited
", begab er sich, gleich nach seiner Ankunft, auf die Geheimschreiberei, wo er von den Räten, deren er einige kannte, erfuhr, ",9545,9670,0.0,not_cited
"was ihm allerdings sein erster Glaube schon gesagt hatte, daß die Geschichte von dem Paßschein ein Märchen sei.",9670,9781,4.4,cited
" Kohlhaas, dem die mißvergnügten Räte, auf sein Ansuchen, ",9781,9839,0.0,not_cited
einen schriftlichen Schein über den Ungrund derselben,9839,9892,4.333333333333333,cited
" gaben, ",9892,9900,0.0,not_cited
"lächelte über den Witz des dürren Junkers, obschon er noch nicht recht einsah, was er damit bezwecken",9900,10001,2.3333333333333335,cited
 mochte; ,10001,10010,0.0,not_cited
"und die Koppel der Pferde, die er bei sich führte, einige Wochen darauf, zu seiner Zufriedenheit, verkauft",10010,10116,1.0,cited
", ",10116,10118,0.0,not_cited
"kehrte er, ohne irgend weiter ein bitteres Gefühl, als das der allgemeinen Not der Welt, zur Tronkenburg zurück.",10118,10230,1.0,cited
" Der Schloßvogt, dem er den Schein zeigte, ließ sich nicht weiter darüber aus, und sagte, auf die Frage des Roßkamms, ob er die Pferde jetzt wiederbekommen könne: er möchte nur hinuntergehen und sie holen. Kohlhaas hatte aber schon, da er über den Hof ging, den unangenehmen Auftritt, zu erfahren, daß sein Knecht, ungebührlichen Betragens halber, wie es hieß, ",10230,10591,0.0,not_cited
"wenige Tage nach dessen Zurücklassung in der Tronkenburg, zerprügelt und weggejagt",10591,10673,1.0,cited
" worden sei. Er fragte den Jungen, der ihm diese Nachricht gab, was denn derselbe getan? und wer währenddessen die Pferde besorgt hätte? worauf dieser aber erwiderte, er wisse es nicht, und darauf ",10673,10870,0.0,not_cited
"dem Roßkamm, dem das Herz schon von Ahnungen schwoll",10870,10922,1.0,cited
", den Stall, in welchem sie standen, öffnete. Wie groß war aber ",10922,10986,0.0,not_cited
"sein Erstaunen, als er, statt seiner zwei glatten und wohlgenährten Rappen, ein Paar dürre, abgehärmte Mähren erblickte; Knochen, denen man, wie Riegeln, hätte Sachen aufhängen können; Mähnen und Haare, ohne Wartung und Pflege, zusammengeknetet: das wahre Bild des Elends im Tierreiche!",10986,11272,3.0,cited
" Kohlhaas, den die Pferde, mit einer schwachen Bewegung, anwieherten, war auf das äußerste entrüstet, und fragte, was seinen Gaulen widerfahren wäre? Der Junge, der bei ihm stand, antwortete, daß ihnen weiter kein Unglück zugestoßen wäre, daß sie auch das gehörige Futter bekommen hätten, daß sie aber, da gerade Ernte gewesen sei, wegen Mangels an Zugvieh, ein wenig auf den Feldern gebraucht worden wären. ",11272,11680,0.0,not_cited
"Kohlhaas fluchte über diese schändliche und abgekartete Gewalttätigkeit, verbiß jedoch, im Gefühl seiner Ohnmacht, seinen Ingrimm, und machte schon, da doch nichts anders übrigblieb, Anstalten, das Raubnest mit den Pferden nur wieder zu verlassen, als der Schloßvogt, von dem Wortwechsel herbeigerufen, erschien, und fragte, was es hier gäbe?",11680,12022,1.9230769230769231,cited
 Was es gibt? antwortete Kohlhaas. Wer ,12022,12061,0.0,not_cited
hat dem Junker von Tronka und dessen,12061,12097,1.8,cited
" Leuten die Erlaubnis gegeben, sich meiner bei ihm zurückgelassenen Rappen zur Feldarbeit zu bedienen? ",12097,12200,0.0,not_cited
"Er setzte hinzu, ob das wohl menschlich wäre? versuchte, die erschöpften Gaule durch einen Gertenstreich zu erregen, und zeigte ihm, daß sie sich nicht rührten.",12200,12360,1.0,cited
" Der Schloßvogt, nachdem er ihn eine Weile trotzig angesehen hatte, versetzte: seht den Grobian! Ob der Flegel nicht Gott danken sollte, daß die Mähren überhaupt noch leben? Er fragte, wer sie, da der Knecht weggelaufen, hätte pflegen sollen? Ob es nicht billig gewesen wäre, daß die Pferde das Futter, das man ihnen gereicht habe, auf den Feldern abverdient hätten? Er schloß, ",12360,12738,0.0,not_cited
"daß er hier keine Flausen machen möchte, oder daß er die Hunde rufen, und sich durch sie Ruhe im Hofe zu verschaffen wissen würde.",12738,12868,1.0,cited
 – ,12868,12871,0.0,not_cited
"Dem Roßhändler schlug das Herz gegen den Wams. Es drängte ihn, den nichtswürdigen Dickwanst in den Kot zu werfen, und den Fuß auf sein kupfernes Antlitz zu setzen. Doch sein Rechtgefühl, das einer Goldwaage glich, wankte noch; er war, vor der Schranke seiner eigenen Brust, noch nicht gewiß, ob eine Schuld seinen Gegner drücke;",12871,13199,5.466666666666667,cited
 ,13199,13200,0.0,not_cited
"und während er, die Schimpfreden niederschluckend, zu den Pferden trat, und ihnen, in stiller Erwägung der Umstände, die Mähnen zurechtlegte, fragte er mit gesenkter Stimme: um welchen Versehens halber der Knecht denn aus der Burg entfernt worden sei?",13200,13451,1.3333333333333333,cited
 Der Schloßvogt er widerte: weil der Schlingel trotzig im Hofe gewesen ist! Weil er ,13451,13535,0.0,not_cited
sich gegen einen notwendigen,13535,13563,1.0,cited
" Stallwechsel gesträubt, und verlangt hat, daß die Pferde zweier Jungherren, die auf die Tronkenburg kamen, um seiner Mähren willen, auf der freien Straße übernachten sollten! – ",13563,13741,0.0,not_cited
Kohlhaas hätte den Wert der Pferde darum gegeben,13741,13789,1.0,cited
", wenn er den Knecht zur Hand gehabt, und dessen Aussage mit der Aussage dieses dickmäuligen Burgvogts hätte vergleichen können. Er stand noch, und streifte den Rappen die Zoddeln aus, und sann, ",13789,13984,0.0,not_cited
was in seiner Lage zu tun sei,13984,14013,1.0,cited
", als sich die Szene plötzlich änderte, ",14013,14053,0.0,not_cited
"und der Junker Wenzel von Tronka, mit einem Schwarm von Rittern, Knechten und Hunden, von der Hasenhetze kommend",14053,14165,3.4,cited
", in den Schloßplatz sprengte. Der Schloßvogt, als er fragte, was vorgefallen sei, nahm sogleich das Wort, und ",14165,14276,0.0,not_cited
"während die Hunde, beim Anblick des Fremden, von der einen Seite, ein Mordgeheul gegen ihn anstimmten",14276,14377,1.3333333333333333,cited
", und die Ritter ihnen, von der andern, zu schweigen geboten, zeigte er ihm, unter der gehässigsten Entstellung der Sache, an, ",14377,14504,0.0,not_cited
"was dieser Roßkamm, weil seine Rappen ein wenig gebraucht worden wären, für eine Rebellion verführe. Er sagte, mit Hohngelächter, daß er sich weigere, die Pferde als die seinigen anzuerkennen. Kohlhaas rief: »das sind nicht meine Pferde, gestrenger Herr! Das sind die Pferde nicht, die dreißig Goldgülden wert waren! Ich will meine wohlgenährten und gesunden Pferde wiederhaben!",14504,14882,3.3,cited
« – ,14882,14886,0.0,not_cited
"Der Junker, indem ihm eine flüchtige Blässe ins Gesicht trat, stieg vom Pferde, und sagte: wenn der H... A... die Pferde nicht wiedernehmen will, so mag er es bleibenlassen. Komm, Günther! rief er – Hans! Kommt!",14886,15097,2.25,cited
 indem er ,15097,15107,0.0,not_cited
sich den Staub mit der Hand von den Beinkleidern schüttelte;,15107,15167,1.0,cited
" und: schafft Wein! rief er noch, da er mit den Rittern unter der Tür war; und ging ins Haus. ",15167,15261,0.0,not_cited
"Kohlhaas sagte, daß er eher den Abdecker rufen, und die Pferde auf den Schindanger schmeißen lassen, als sie so, wie sie wären, in seinen Stall zu Kohlhaasenbrück führen wolle.",15261,15437,1.3333333333333333,cited
 Er ließ ,15437,15446,0.0,not_cited
"die Gaule, ohne sich um sie zu bekümmern, auf dem Platz stehen",15446,15508,1.0,cited
", schwang sich, ",15508,15524,0.0,not_cited
"indem er versicherte, daß er sich Recht zu verschaffen wissen würde",15524,15591,2.0,cited
", auf seinen Braunen, und ritt davon.
Spornstreichs ",15591,15643,0.0,not_cited
auf dem Wege nach Dresden,15643,15668,1.0,cited
" war er schon, als er, bei dem Gedanken an den Knecht, und an die Klage, die man auf der Burg gegen ihn führte, schrittweis zu reiten anfing, sein Pferd, ehe er noch tausend Schritt gemacht hatte, wieder wandte, und ",15668,15884,0.0,not_cited
zur vorgängigen Vernehmung des Knechts,15884,15922,1.0,cited
", wie es ihm klug und gerecht schien, nach Kohlhaasenbrück einbog. ",15922,15989,0.0,not_cited
"Denn ein richtiges, mit der gebrechlichen Einrichtung der Welt schon bekanntes Gefühl machte ihn, trotz der erlittenen Beleidigungen, geneigt, falls nur wirklich dem Knecht, wie der Schloßvogt behauptete, eine Art von Schuld beizumessen sei, den Verlust der Pferde, als eine gerechte Folge davon, zu verschmerzen. Dagegen sagte ihm ein ebenso vortreffliches Gefühl, und dies Gefühl faßte tiefere und tiefere Wurzeln, in dem Maße, als er weiterritt, und überall, wo er einkehrte, von den Ungerechtigkeiten hörte, die täglich auf der Tronkenburg gegen die Reisenden verübt wurden: daß wenn der ganze Vorfall, wie es allen Anschein habe, bloß abgekartet sein sollte, er mit seinen Kräften der Welt in der Pflicht verfallen sei, sich Genugtuung für die erlittene Kränkung, und Sicherheit für zukünftige seinen Mitbürgern zu verschaffen.",15989,16821,5.472222222222222,cited
"
Sobald er, bei seiner Ankunft in Kohlhaasenbrück, Lisbeth, sein treues Weib, umarmt, und seine Kinder, die um seine Knie frohlockten, geküßt hatte, fragte er gleich nach Herse, dem Großknecht: und ob man nichts von ihm gehört habe? Lisbeth sagte: ja liebster Michael, dieser Herse! ",16821,17104,0.0,not_cited
"Denke dir, daß dieser unselige Mensch, vor etwa vierzehn Tagen, auf das jämmerlichste zerschlagen, hier eintrifft;",17104,17218,1.0,cited
" nein, so zerschlagen, daß er auch nicht frei atmen kann. Wir bringen ihn zu Bett, wo er heftig Blut speit, und vernehmen, auf unsre wiederholten Fragen, eine Geschichte, die keiner versteht. Wie er von dir mit Pferden, denen man den Durchgang nicht verstattet, auf der Tronkenburg zurückgelassen worden sei, wie man ihn, durch die schändlichsten Mißhandlungen, gezwungen habe, die Burg zu verlassen, und wie es ihm unmöglich gewesen wäre, die Pferde mitzunehmen. So? sagte Kohlhaas, indem er den Mantel ablegte. Ist er denn schon wiederhergestellt? – Bis auf das Blutspeien, antwortete sie, halb und halb. Ich wollte sogleich einen Knecht nach der Tronkenburg schicken, um die Pflege der Rosse, bis zu deiner Ankunft daselbst, besorgen zu lassen. Denn da sich der Herse immer wahrhaftig gezeigt hat, und so getreu uns, in der Tat wie kein anderer, so kam es mir nicht zu, in seine Aussage, von so viel Merkmalen unterstützt, einen Zweifel zu setzen, und etwa zu glauben, daß er der Pferde auf eine andere Art verlustig gegangen wäre. Doch er beschwört mich, niemandem zuzumuten, sich in diesem Raubneste zu zeigen, und die Tiere aufzugeben, wenn ich keinen Menschen dafür aufopfern wolle. – Liegt er denn noch im Bette? fragte Kohlhaas, indem er sich von der Halsbinde befreite. – Er geht, erwiderte sie, seit einigen Tagen schon wieder im Hofe umher. Kurz, du wirst sehen, fuhr sie fort, daß alles seine Richtigkeit hat, und daß diese Begebenheit einer ",17218,18673,0.0,not_cited
"von den Freveln ist, die man sich seit kurzem auf der Tronkenburg gegen die Fremden erlaubt.",18673,18765,1.0,cited
 – ,18765,18768,0.0,not_cited
"Das muß ich doch erst untersuchen, erwiderte Kohlhaas. Ruf ihn mir, Lisbeth, wenn er auf ist, doch her!",18768,18871,1.0,cited
" Mit diesen Worten setzte er sich in den Lehnstuhl; und die Hausfrau, die sich über seine Gelassenheit sehr freute, ging, und holte den Knecht.
Was hast du in der Tronkenburg gemacht? fragte Kohlhaas, da Lisbeth mit ihm in das Zimmer trat. ",18871,19111,0.0,not_cited
Ich bin nicht eben wohl mit dir zufrieden.,19111,19153,1.0,cited
" – Der Knecht, auf dessen blassem Gesicht sich, bei diesen Worten, eine Röte fleckig zeigte, schwieg eine Weile; und: ",19153,19271,0.0,not_cited
"da habt Ihr recht, Herr! antwortete er; denn einen Schwefelfaden, den ich durch Gottes Fügung bei mir trug, um das Raubnest, aus dem ich verjagt worden war, in Brand zu stecken, warf ich, als ich ein Kind darin jammern hörte, in das Elbwasser, und dachte: mag es Gottes Blitz einäschern; ich will's nicht!",19271,19576,1.5,cited
" – Kohlhaas sagte betroffen: wodurch aber hast du dir die Verjagung aus der Tronkenburg zugezogen? Drauf Herse: durch einen schlechten Streich, Herr; und trocknete sich den Schweiß von der Stirn: Geschehenes ",19576,19784,0.0,not_cited
ist aber nicht zu,19784,19801,1.0,cited
" ändern. Ich wollte die Pferde nicht auf der Feldarbeit zugrunde richten lassen, und sagte, daß sie noch jung wären und nicht gezogen hätten. – Kohlhaas erwiderte, indem er seine Verwirrung zu verbergen suchte, daß er hierin nicht ganz die Wahrheit gesagt, indem die Pferde schon zu Anfange des verflossenen Frühjahrs ein wenig im Geschirr gewesen wären. Du hättest dich auf der Burg, fuhr er fort, wo du doch eine Art von Gast warest, schon ein oder etliche Mal, wenn gerade, wegen schleuniger Einführung der Ernte Not war, gefällig zeigen können. – Das habe ich auch getan, Herr, sprach Herse. Ich dachte, da sie mir grämliche Gesichter machten, es wird doch die Rappen just nicht kosten. Am dritten Vormittag spannt ich sie vor, und drei Fuhren Getreide führt ich ein. Kohlhaas, dem das Herz emporquoll, schlug die Augen zu Boden, und versetzte: davon hat man mir nichts gesagt, Herse! – Herse versicherte ihn, daß es so sei. Meine Ungefälligkeit, sprach er, bestand darin, daß ich die Pferde, als sie zu Mittag kaum ausgefressen hatten, nicht wieder ins Joch spannen wollte; und daß ich dem Schloßvogt und dem Verwalter, als sie mir vorschlugen frei Futter dafür anzunehmen, und das Geld, das Ihr mir für Futterkosten zurückgelassen hattet, in den Sack zu stecken, antwortete – ich würde ihnen sonstwas tun; mich umkehrte und wegging. – Um dieser Ungefälligkeit aber, sagte Kohlhaas, bist du von der Tronkenburg nicht weggejagt worden. – Behüte Gott, rief der Knecht, um eine gottvergessene Missetat! Denn auf den Abend wurden die Pferde zweier Ritter, welche auf die Tronkenburg kamen, in den Stall geführt, und meine an die Stalltüre angebunden. Und da ich dem Schloßvogt, der sie daselbst einquartierte, die Rappen aus der Hand nahm, und fragte, wo die Tiere jetzo bleiben sollten, so zeigte er mir einen Schweinekoben an, der von Latten und Brettern an der Schloßmauer auferbaut war. – Du meinst, unterbrach ihn Kohlhaas, es war ein so schlechtes Behältnis für Pferde, daß es einem Schweinekoben ähnlicher war, als einem Stall. – Es war ein Schweinekoben, Herr, antwortete Herse; wirklich und wahrhaftig ein Schweinekoben, in welchem die Schweine aus-und einliefen, und ich nicht aufrecht stehen konnte. – Vielleicht war sonst kein Unterkommen für die Rappen aufzufinden, versetzte Kohlhaas; ",19801,22101,0.0,not_cited
"die Pferde der Ritter gingen, auf eine gewisse Art, vor.",22101,22157,1.0,cited
" – Der Platz, erwiderte der Knecht, indem er die Stimme fallen ließ, war eng. ",22157,22235,0.0,not_cited
Es hauseten jetzt in allem sieben Ritter auf der Burg.,22235,22289,1.0,cited
